idx,class,conversation
0,일상 대화,"  오빠는 쌤들한테 이쁨 받는 학생이었어 미움 받는 학생이었어?
  좋아하는 분들도 있고 아닌 분도 있고 키키
  그래?
  어떤 쌤이 오빠를 좋아했음?
  나 특히 음악 선생님이 좋아 해줬어 키키
  할 키키 오빠 음악을 잘 했구나?
아니
  잘한 건 아닌데 그 선생님이 날 이뻐 했어 키키
  그렇구나 키키
  나는 담임쌤들은 다 나 좋아했음
  아 난 담임쌤들은 다 싫어하더라 키키
  키키 아 진짜?
  왜 그렇지?
  오빠 날라리였지?
  아니거든
  나 공부 엄청 착실하게 했어 키키
  키키 오 근데 왜 담임쌤이 오빠를 싫어했지?
  글쎄 나도 모르겠는데 이뻐하진 않더라고 키키
  그렇구나
  나는 조용조용하고 말 잘 들어서 다 좋아했음 키키
  오 너 착실한 학생 이였구나?
  어 맞아 키키
  그래서 담임쌤들이 나한테 심부름 많이 시킴
  심부름 잘 하면 쌤들이 좋아 하긴 하지 키키"
1,일상 대화,"  학생 때 많은 걸 누릴걸
  그니까 그때 다해야 해
  내 사교육비 돌려놔... 
  억은 넘을 건데
  학생 때 여행 많이 가야 함...
  이제는 하고 싶어도 못해 
  키키 다시 대학 입학해 방통대
  사교육비 그거 다 거름이야 하하
  진짜 시간을 돌리고 싶다
  거름이 뭐냐 똥이다
  분명 우리의 어딘가를 채웠을 꺼야 키키
  사교육비 그냥 주식 살걸
  키키 알 수 없는 무언가
  난 그렇게 자기 위안 키키
  아니면 비트코인 샀으면 좋았을 텐데 키키
  비트코인  가 천 원때 사라 했었는데  
  키키 그럼 우리 지금 뭐하고 있을까
  대학교 때 공부 안 하고 술만 먹은 듯...
  지금쯤 유럽에서 쉬고 있을 듯"
2,일상 대화,"  얼마전에 산악동호회 분들하고 야영갔다 왔어
  산악동호회면은 산에 가는거죠?
  야영이라 함은 캠핑가요?
  숲에서 텐트 치고 하루 자고 그 다음날은 머리가 너무 상쾌해
  노숙생활을 즐기시는군요
  난 팔자가 한곳에 머무는 팔자가 아닌가봐
  밖에서 자는거 안무섭나요?
  자주 밖에서 주무시나봐요?
  우리나라 대명산은 꼭 다 다녀올려고
  헉 죽기전에 그게 가능한가봐요
  산은 쳐다보는걸로 알고있는데
  거기다 백두대간 종주도 꼭 한번 할꺼고
  멋진거 같지만 힘들지 않아요?
  백팩킹가방이 많이 무겁다고하던데요"
3,일상 대화,"  우리 예전에 했던 마피아 게임 기억해?
  응 기억하지 많이 했었잖아
  최근에 나도 술자리에서 했었는데 재밌었어
  너 마피아 게임 잘 하잖아
  맞아 기억하는구나. 이번에도 내가 잘했어
  술 마시고 하면 더 재밌겠다
  응 다들 조금씩 취해서 더 재밌어
  우리도 만나면 마피아 게임하자
  키키 연습 많이 해서 오도록 해
  알았어. 너도 긴장해야 될 거야"
4,일상 대화,"  오빠는 여군 어떻게 생각해?
  나 여군 나쁘게 생각 안 하는데 키키 멋있지
그치
  나도 여군이 진짜 멋지다고 생각해 키키
  어 진짜 대단하다고 생각해 키키
  내 주변에 여군 된 친구 있는데 맨날 운동하더라
맞아
  여군들은 운동도 꾸준히 하고 관리 해야 될 듯 키키
맞아
  남자들 체력하고 다르니깐 더 운동해야 할 것 같아
  어어 그리고 남자들 사이에 있는 거니까  힘들거야
  맞아ㅜㅜ
  오빠는 여자였다면 여군 했을 것 같아?
아니
  나는 성형해서 보험 팔고 다닐 거야 키키
  키키 이 시대의 보험왕을 노리고 있는 건가!
  어어 그럼 이쁘면 잘 팔리잖아 키키
  키키 그렇긴 하지
  군인보다는 보험왕을 노린다!
  응 보험 잘 팔리면 부자 되잖아 키키
  맞아 키키
  오빠한테 보험이나 들어야겠다 키키
  어어 나중에 나 여자로 태어나면 나한테 보험 들어 키키"
5,일상 대화,"  나도 살면서 올림픽 한번쯤은 직접 가서 보고 싶다
  아 내 말이  평창이라도 갔어야 됐어
  그니까 실제로 보면 더 재미있을 것 같아
  방구석에서만 봐도 이렇게 재미있는데
  티켓값 장난 아니더라...
  지금부터 돈 모으자 친구야
  한번쯤은 가봐야지. 오케이 진짜 모은다
  오늘부터 돈 안 쓰기 시작
  이러고 또 배달 시킴
  배달은 예외지 이자식아~!"
6,일상 대화,"  너는 날씨중에 비오는날 좋아해?
  집에 있을 때만 비오는거 좋아해! 키키
  키키 나랑 비슷하네?
  나도 비오는날 집안에 있는 걸 좋아해
  키키 그치 비오는날 돌아다니면 축축하고 너무 싫어 
  맞아 그걸 온몸으로 느끼니깐 기분도 안좋더라고 ㅜㅜ
  맞아 
  근데 집에 있을 때 비오면 편안해져!
  맞아 비오는날 따뜻한 차 한잔 마시면서 재밌는 티비 보는게 짱이야
  키키 맞아 빗소리 들으면서 멍 때리는 거도 좋고!
  유투브에서 일부로 빗소리 찾아서 듣는 느낌이잖아 하하
  키키 맞아  요즘 잠 안 올때도 빗소리 틀어놓고 자면 푹 자는 거 같아!
  비오는날 천둥 치면 무섭지만 비만 내릴 때 잠자기 좋더라
  키키 그치그치 진짜 평온해지는 거 같아
  비오는날 출근은 싫지만 빗소리는 좋다!
  그니까!
  요즘은 그래서 비 오는날 약속 안 잡으려고 하고있어 키키
  나도 키키 비 오는날은 집에서 편하게 쉬자!
  키키 맞지 이제는 집에서 빗소리 들으면서 편하게 쉴래!"
7,일상 대화,"  이구아나 그럼 선물해 줄게
  이구아나 어디 파는거니 하하
  거북이 키우고 싶어 키키
  이구아나 초록색 사주겠어
  징그러워 이구아나 하하
  이구아나 너무 좋지 키키
  거북이 넘 잘 죽음
  내 친구 거북이 키우는데 하하
  징그럽긴 해도 좋아 키키
  은근 거북이 가 잘 죽어
  타고 다니거라더라 나중에 하하
  귀여운 게 더 좋긴한데 키키
  거북이 갑자기 하루 아침에  죽음 
  년 키울거래 너도?
  거북이는 은근 잘 죽지,
  밥도 안 먹고 거북이 키우기 힘듬
  그니까 키우기 힘듬  /
  년 너무 오래 살아, "
8,일상 대화,"  내일 어떤 게임 할까요?
  무슨 게임 종류 있죠?
  뱅이랑 보난자랑 스플랜더랑 루미큐브요
  맞아요. 하하
  게임회사인줄 알겠어요
  하지만 부족해요 게임이 더 필요해요
  저희 점심시간엔 게임 회사에요~
  법인카드로 사달라고 해보세요 팀장님한테
  게임회사로 이직하라고 하시겠죠.
  내일 뱅할까요?
  좋은데요~
  루미큐브가 그래도 머리 굴리는데 좋은거아닌가요?
  뱅은 명까지 할 수 있어서 좋아요
  루미큐브는 명밖에 못해서요
  맞아요. 루미큐브하면 머리 엄청 써요~
  지면 꿀밤맞기 어때요?
  내기 좋아요"
9,일상 대화,"  피카추 배구 아는 사람?
  그게 머야? 첨들어보는데
  그런 배구가 있어?
  헉 컴퓨터로 하는 피카추 배구 몰라 ?
  응 진짜 첨들어봐 컴퓨터 게임이야?
  포켓몬 피카츄 말하는 거야?
  응응 맞아 너희랑 그 추억을 나누고 싶었는데
  피카츄 돈까스는 알아
  완전히 처음 들어봐 설명 좀 해봐
  피카추 두마리가 나오고 키보드로 머리로 공을 치면서 배구를 하는거야 말그대로
  그렇구나 근데 엄청 귀엽겠다
  와 정말 설명 들어도 모르겠네 재밌어?
  피카~츄 피카츄 거리는데 모르다니 아쉽다
  오늘 함 해볼까?
  음성지원이 되네 피카~츄하면 백만 볼트 나오는데"
