idx,class,conversation
0,일상 대화,"  아옹 나는 그냥 돈 잘 버는 남편 만날래
  그게 베스트지~
  의사 만나자
  나도 취집하고 싶은데 요즘 취집도 빡세
   취집하려면 우선 내가 좋은 아내가 되어야 해...
   일단 안되겠다
  누나 그래도 응원해
  난 밥 잘 차려주고 청소 잘할 자신이 있어 남자가 없을 뿐
   나는 남편이 하라는 거 다 할 수 있어...
   나도 집안 일 아주 잘할 수 있어
  살인하라고 하는 거 가능?
  넌 애가 왜 이렇게 극단적이니
  남자친구가 보살이다 싶네
   뭐야 진짜 무섭게 
  누나 정신 차려
  남편이 살인 청부 사장일 수도 있잖아 왜?
  너 정말 극단적이다...
  우리 같이 사는 거 고려해보자...
   정말 폭넓게 생각하는구나 누나
   왱 동거하고 싶다구우
  아니야 이건 폭이 넓은 게 아니고 극단적인 거야
  그래 극단적이네
  축하해 둘 다
   나랑 같이 사는 거 왜  "
1,일상 대화,"  너는 나중에 무슨 회사 들어가고 싶어?
  나는 돈 많이 주고 일 안 시키는 곳 
   그건 모두의 꿈의 직장이잖아~
   그니까~ 그런 직장 들어가 볼 수나 있을까 
   그런 곳이 있으려나 모르겠다
   실상은 돈 적게 주고 일 많은 데가 많지,
맞아
  돈 많이 주고 일 안 하는 곳은 돈 많은 백수밖에 없을 듯
  진짜 돈 많은 백수 하고 싶다
  나도 그게 나의 최종 목표야 
   그게 진짜 제일 좋은 목표긴 하지
그치
  이번 생에는 가능하려나?
  돈 많은 백수
  이번 생은 난 글렀어, 힘들 거 같아 
   아니면 둘 중 하나를 포기해야 할 것 같아
   백수는 쉽게 할 수 있을 꺼 같은데?
   맞아
  난 지금도 백수야 
   나도 백수인데 뭐 우리 빨리 돈 벌자 "
2,일상 대화,"  엇 저분 남친도 산업체 나오심...!
  아 진짜? 
  산업체 좋은데
  오 맞아 맞아 
  뭐야 공감대
   이런 우연이 다 있나
  돈 벌면서  군대 보내기
  신기하다
  주변에 잘 못 봤어 
  산업체 가는 사람 잘 없던데
  저는 군대 안 가서 너무 좋아요...
  돈 벌면서 군대 다니기 맞앜 
  그니까 군대 안 가신 두분 
   친구들이 다 부러워함
  군대 안 가는 게 짱이지 
  요즘 군인 월급 많이 올랐대...
  진짜 시간이 너무 아까워서
  나라도 군대 못 가겠음 
  년 개월 하면  은 모은다 함 
  나도 안 가는 게 좋으니까...
  시간도 아깝고 젊음도 아깝고 "
3,일상 대화,"  피카소의 그림이 아직도 거래되나 봐
  와우… 무슨 소식을 접했길래
  미국의 라스베이거스에 있는 고급 식당에 있는 피카소의 그림이 총 점이래
  아하… 점이나 가진 식당이라니 대박이다
  응 그걸 다 경매에 넘겼다나? 그림 한 점 한 점이 정말 비싸더라
  그걸 산 사람들이 있어?
  응 그 중에 몇 점은 예상 최고가의 네 배가 되는 가격에 팔렸다고 하네
  역시 큰손들은 다르네
  응 그래도 이제 다시는 세상에서 구할 수 없는 거니까 가치가 점점 올라가겠지
  역시 예술가는 죽어서 남긴 작품들이 가치가 있어지네. "
4,일상 대화,"  둘째도 어서 어린이 집 보내야 하는데
  둘째 아직도 어린이집 안가?
  코로나 때문에 못보냈지
  첫째는 유치원 가냐?
  첫째는 보내, 집에서 하루 종일 보기 너무 힘들어
  맞아, 그래서 학원 뺑뺑이 돌리잖아
  월수금은 태권도 보내고.
  다른 거는 안 보내냐?
  미술학원 보낼까 말까...
  가족끼리 시간은 언제 보내냐 그러면"
5,일상 대화,"  아파트 상가에 편의점 하나씩은 꼭 있는 것 같아
  맞아 없는 곳이 없어
  편의점 없으면 생활이 안돼
  그러니깐 이용할 일이 많아
  그리고 편의점에서 요즘 안파는 게 없어
  맞아 야채도 팔더라
  응 그래서 가끔 급할때 사다 써
  비싸긴 하잖아
  그래서 가끔 급할때만 사지
  급할때 좋긴 하겠다"
6,일상 대화,"  아~ 요즘엔 몸도 좀 풀겸 격투 게임 하고 싶어졌어.
  플레이 스테이션에서 격투 게임 없나?
  그러게~ 온 몸으로 하면 재밌을 거 같네.
  격투 게임으로 할 만한 게임 아는거 있어?
  나는 게임을 잘 몰라~
  D 게임이 재밌는게 좀 있지.
  오~ 가 이런 게임을 아는구나~
  그러게~
   반전인데?
  철권하고 버츄어 파이터를 추천해.
  철권은 많이 들어본거 같은데 오락실 게임 아냐?
  철권은 나도 들어본 이름이다.
  D로 하려면 좀 연습이 많이 필요해.
  그렇구나.
  버츄어 파이터는 어떤거 같아?
  철권보다는 쉬운데 스토리가 좀 약해.
  격투 게임 하면 다이어트도 되려나?"
7,일상 대화,"  반려 동물로 토끼 키우면 귀여울 거 같아.
  아... 나 토끼 키우는 사람 이야기 조금 들은 적 있어.
  아하 어떻대? 무슨 이야기를 들었어?
  실제로 키우면 냄새가 엄청 난대.
  아아 냄새라... 그렇구나…
  그리고 토끼의 실제 자라던 환경 말이야.
  그런 걸 어느 정도 조성해 줘야 되는 거 같더라고.
  아하 그렇구나… 뭐 예를 들면 풀숲이나 그런 거?
  응. 풀숲이라 하긴 그렇고 토끼 집은 따로 있어야 되는 거 같고.
  일반 강아지나 고양이처럼 집안의 바닥에 그냥 놔두지는 않는 거 같았어.
  강아지나 고양이보다 야생의 느낌이 더 있는 거 같아.
  그런 거 같아 그러고 보면 강아지나 고양이는 인간 환경에 많이 적응한 동물들인 걸 알 수 있네."
8,일상 대화,"  아... 이 괜춘...?
  아프다며
  웅 많이 아프다던데
  아... 거기?
  소식 들었어... 우짜냐
  장염때문에 입원 주째래
  내시경했는데 괜찮데
  오래 앉아 있으면 안 될텐데...
  뭘 도당췌 먹질 못하던데
  아 진짜... 그만 놀려라
  내시경을 한다고?
  거길...?
  웅... 내시경 진짜 고통스러울텐데
  응 아포... 할 때
  장염도 걸렸었어?
  처음 들음
  줄줄 하던데... 진짜 힘들어 보이더라
  피 나와서 한번 갔었음...
  아 안쪽에 생겼구나... 우짜냐...
   어떡해... 벌 받는 거라니까
  이제 괜찮아졌다구!"
9,일상 대화,"  동남아로 골프 여행 가겠네 
  오 동남아 좋다 
  그러고 싶다... 은 그렇게 할 듯
  이 양반들 코로나 끝나면
  일본 이런데 골프장 좋지 않을까?
  진짜 다른 나라는 너무 좋을 듯
  골프채 챙겨서 나갈 듯
  저 남해 아난띠 거기 좋더만 
  맞아요 가 젤 가고 싶어 하는 곳
  도 골프 치남?
  골프장 아주 이쁘던데 바닷가라서
  도 친다이? 나 담주 필드간당 무서워
  는 이제 시작 했잖아
  우리도 배워서 합류하자 내기빵
  아 너무 좋다 얼른 배워보자
  동남아로  많이 가더만 엇 어디 가는데?
  레슨 받으로 고고고
  난 광양으로 가는데 빨리 하자 친구덜앙"
